gensim-notfidf0	gensim-notfidf1	gensim-notfidf2	gensim-notfidf3	gensim-notfidf4	gensim-notfidf5	gensim-notfidf6	gensim-notfidf7	gensim-notfidf8	gensim-notfidf9	gensim-notfidf10	gensim-notfidf11	gensim-notfidf12	gensim-notfidf13	gensim-notfidf14	gensim-notfidf15	gensim-notfidf16	gensim-notfidf17	gensim-notfidf18	gensim-notfidf19	gensim-notfidf20	gensim-notfidf21	gensim-notfidf22	gensim-notfidf23	gensim-notfidf24
0.903999999991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926153846149
0	0	0	0	0	0.807999999992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862857142848	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91272727272	0	0	0	0	0	0	0	0.87999999999	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.018701298704	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.040000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.017142857147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.912727272721	0	0	0	0	0	0	0	0.893333333317	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118915971342	0	0	0	0.115279607704
0	0	0	0	0	0	0	0	0	0.117404632163	0	0	0	0	0	0	0	0	0	0	0.121404632163	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.041142857416	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.91272727272	0	0	0	0	0	0.931428571193	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.136440258299	0	0	0	0	0	0	0	0	0	0	0	0.124076621936	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903999999995
