gensim-notfidf0	gensim-notfidf1	gensim-notfidf2	gensim-notfidf3	gensim-notfidf4	gensim-notfidf5	gensim-notfidf6	gensim-notfidf7	gensim-notfidf8	gensim-notfidf9	gensim-notfidf10	gensim-notfidf11	gensim-notfidf12	gensim-notfidf13	gensim-notfidf14	gensim-notfidf15	gensim-notfidf16	gensim-notfidf17	gensim-notfidf18	gensim-notfidf19	gensim-notfidf20	gensim-notfidf21	gensim-notfidf22	gensim-notfidf23	gensim-notfidf24
0	0	0	0.397201041684	0	0	0	0	0	0	0	0	0	0	0	0	0.384688221174	0	0	0	0	0	0	0	0
0.163472363603	0	0	0	0	0	0	0	0	0	0	0.188703132915	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.893333333321	0	0	0	0	0	0	0	0	0	0	0	0	0.87999999999	0	0	0	0	0	0	0
0	0	0	0.1478227085	0.142822708499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481102285707	0	0	0	0	0.470333054712	0	0	0	0	0
0	0	0.158986777385	0	0.324074696245	0	0	0.175087918861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.016000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.11338166132	0.101018024945	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.18692258786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181208302145
0	0.222657257472	0	0	0	0	0	0	0	0	0	0.178072119132	0	0	0	0	0	0	0	0	0	0.0530215019761	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.010666666667	0	0	0	0	0	0	0	0	0	0	0	0
0.455487024229	0.101994128461	0	0	0	0	0	0.219219676088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758854674935	0
0.0100000000002	0.0100000000003	0.0100000000004	0.0100000000005	0.0100000000005	0.0100000000012	0.0100000000006	0.0100000000005	0.0100000000003	0.0100000000005	0.0100000000003	0.0100000000003	0.0100000000009	0.0100000000005	0.0100000000005	0.0100000000005	0.759999999983	0.0100000000005	0.0100000000005	0.0100000000005	0.0100000000008	1.99999738992e-13	0.0100000000012	0.0100000000002	0.010000000001
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00004465714e-12	0	0	0	0
0	0	0	0.259999999998	0	0	0	0	0.383333333329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010000000001	0
0	0	0	0	0	0	0	0	0	0	0.878395330366	0	0	0	0	0	0	0	0.963076923075	0	0	0.0446472438468	0.0417574257864	0	0
0	0	0	0	0	0.926153846149	0	0	0	0	0	0	0	0	0	0.893333333325	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04114285714	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.009599999989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0993950892424	0	0	0	0	0	0	0	0	0	0	0.298249167033	0.205520744459	0	0	0
0	0	0.015999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.541893426065	0	0	0	0	0	0	0	0	0	0	0.114915867475	0	0	0	0	0	0	0.426250285853
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952067550243	0	0	0.078703258521	0	0
0	0	0	0.259999999998	0	0	0	0	0.383333333329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010000000001	0
0	0	0	0	0.085333333325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.807186236292	0	0	0	0	0	0	0	0.718027370473	0	0	0	0	0	0	0	0	0	0	0	0	0.0907274932698
0	0	0	0	0	0	0	0	0.839999999983	0	0	0	0	0	0	0	0	0.807999999996	0	0	0	0	0	0	0
0	0	0	0	0	0.049870129874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008727272715	0	0	0	0
0.010666666679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018045112782	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206711675225	0.203075311588	0
0	0	0	0	0	0	0	0	0	0	0	0.146419199026	0	0	0	0	0	0.131469704075	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321473868125	0	0.318140534747	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527472505	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.019393939428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457236709755	0.0874509134973	0	0	0	0.552379930952	0	0	0
0	0	0.008571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.270262456622	0	0	0	0	0.675619896313	0	0	0	0	0	0	0	0	0.958260869564	0	0	0	0	0	0	0	0
0	0.412979669943	0	0	0	0	0	0	0	0	0	0	0.409964285328	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094485382241	0	0.09756230532	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.115353751149	0	0	0	0	0	0	0	0.254203701619	0	0	0	0	0.138849950469	0	0	0	0	0
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333344	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999997	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333348	0.0133333333333	0.0133333333333
0	0	0.0669376041427	0	0	0	0	0.878944748795	0	0	0	0	0	0	0	0	0.958260869564	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0989368095792	0	0	0	0	0	0	0	0	0.179599341333	0	0	0	0	0	0.277065562675	0	0	0	0
0	0	0	0.077871368995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063417587481	0	0	0	0
0.679999999999	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	9.99998694962e-14	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
0.723277068684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741054846636	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.879999999987	0	0	0	0	0	0	0.879999999995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198424405807	0	0	0	0	0	0.203287150877	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010666666633	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030476190471	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395787369487	0	0	0	0.402009591707	0	0	0
0	0	0	0	0	0	0	0	0	0	0.278998011624	0	0	0	0	0	0	0	0.23385515449	0	0	0	0	0	0
0	0	0	0	0.926153846141	0	0	0	0	0.931428571424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.879999999967	0	0	0	0	0	0	0.879999999993
0	0	0	0.173333333332	0	0	0	0	0.553333333328	0	0	0	0	0	0	0.173333333334	0.173333333331	0	0	0	0	0	0	0	0
0	0	0	0	0	0.338089542457	0	0	0	0	0	0	0	0.291422875777	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712189525976	0	0	0	0	0.717903811713	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175810646834	0	0	0.0793332298252	0	0.0690573383901	0.036988706071	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244719726422	0	0.211564646213	0	0	0	0
0	0	0	0.931428571427	0	0	0	0	0	0	0	0	0	0	0	0	0.926153846152	0	0	0	0	0	0	0	0
0.152553990764	0	0	0	0	0	0	0	0	0	0	0.0933832674513	0	0	0	0	0	0	0	0	0	0	0	0.087478415628	0
0	0	0	0	0	0	0	0	0.681465327644	0.241868005681	0	0	0	0	0	0	0	0.912727272723	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862857142853	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416872105143	0	0	0	0	0	0	0.39820543848	0
0	0	0	0	0	0	0	0	0	0	0.965714285713	0	0	0	0	0	0	0	0.963076923075	0	0	0	0	0	0
0	0	0	0	0	0.210838592067	0	0	0	0	0	0	0.202838592065	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.308106391014	0	0	0	0	0	0	0	0.343534962441	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01052631579	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030476190477	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183056167004	0	0	0	0	0	0.180703225827	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029473684214	0	0	0	0	0	0	0	0	0	0
0	0	0	0.351850907873	0	0	0	0	0.604772786263	0	0	0	0	0	0	0.233493306961	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.566212236228	0	0	0	0	0	0	0.568434458449	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002285714283	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9997787828e-13	0	0	0	0	0	0
0	0	0	0	0.926153846149	0	0	0	0	0.931428571424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.159701859118	0	0	0	0	0	0	0	0.273312617577	0	0	0	0.122499647346	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.0100000000014	0.0100000000006	0	0	0	0	0	0	0	0	0	0.079999999954	0	0
0	0	0	0	0	0.018701298705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501957373124	0	0	0	0	0.499457373127	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0601378009422	0	0	0	0	0	0.171092571683	0	0	0.0628181910474	0	0.0538508654069	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152335971333	0.11186708933	0.0602312308349	0.320876979246	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493859735329	0	0	0	0	0.492526401889	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99995575656e-12	0	0	0	0	0	0	0	0	0	0
0	0	0	0.14499284554	0	0	0.109629799571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247955978448	0	0
0	0	0	0	0	0.053333333339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.142735204907	0	0	0	0	0	0.097735204886	0	0	0	0	0
0	0	0.013846153847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.717222719073	0	0	0	0	0	0.943529411757	0.231666169812	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.879999999996	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.363577271501	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379767747586
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023999999999	0	0	0	0	0	0	0
