gensim-notfidf0	gensim-notfidf1	gensim-notfidf2	gensim-notfidf3	gensim-notfidf4	gensim-notfidf5	gensim-notfidf6	gensim-notfidf7	gensim-notfidf8	gensim-notfidf9	gensim-notfidf10	gensim-notfidf11	gensim-notfidf12	gensim-notfidf13	gensim-notfidf14	gensim-notfidf15	gensim-notfidf16	gensim-notfidf17	gensim-notfidf18	gensim-notfidf19	gensim-notfidf20	gensim-notfidf21	gensim-notfidf22	gensim-notfidf23	gensim-notfidf24
0	0.839999999999	0	0	0	0	0.862857142856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.01	0.797999999993	0.01	0.01	0.01	0.01	0.0100000000004	0.01	0.01	0.01	0.0100000000004	0.0100000000002	0.01	0.01	0.01	0.01	0.0100000000003	0.01	0.0100000000002	0.01	0.01	0.01	0.759999999997	0.01
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999666	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.79466666633	0.0133333333333	0.0133333333333
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.52	0.02	0.02	0.787999999995	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862857142837	0	0	0	0.903999999998	0	0	0	0	0
0	0	0	0	0	0	0.407999999864	0	0	0	0	0	0.431999999991	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05485714286	0
0.01	0.01	0.73999999999	0.01	0.01	0.01	0.01	0.0100000000009	0.01	0.01	0.01	0.0100000000009	0.0100000000006	0.01	0.01	0.01	0.01	0.509999999986	0.01	0.01	0.01	0.01	0.01	0.010000000001	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.509999999994	0.01	0.01	0.01	0.01	0.01	0.739999999994	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0	0	0	0	0	0	0	0.807999999992	0	0	0	0.807999999994	0	0	0	0	0	0	0	0	0	0	0	0	0
