gensim-notfidf0	gensim-notfidf1	gensim-notfidf2	gensim-notfidf3	gensim-notfidf4	gensim-notfidf5	gensim-notfidf6	gensim-notfidf7	gensim-notfidf8	gensim-notfidf9	gensim-notfidf10	gensim-notfidf11	gensim-notfidf12	gensim-notfidf13	gensim-notfidf14	gensim-notfidf15	gensim-notfidf16	gensim-notfidf17	gensim-notfidf18	gensim-notfidf19	gensim-notfidf20	gensim-notfidf21	gensim-notfidf22	gensim-notfidf23	gensim-notfidf24
0	0.839999999994	0	0	0	0	0	0	0.807999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839999999997	0	0	0	0	0	0	0.839999999646	0	0	0
0	0	0	0	0	0	0.348033726258	0	0.309367059611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.213879218114	1.99999738992e-13	9.00000560189e-13	1.99999738992e-13	0.01	0.01	0.01	0.01	0.01	0.01	0.01	7.99998955969e-13	9.99998694962e-14	0.01	0.213879218112	0.01	0.01	9.99998694962e-14	0.01	0.01	9.99998694962e-14	0.01	0.01	0.01
0.0066666666643	0.0066666666658	0.0066666666661	0.0066666666646	0.0066666666636	0.0066666666657	0.0066666666654	0.0066666666667	0.0066666666658	0.006666666666	0.0066666666658	0.0066666666663	0.0066666666667	0.006666666665	0.0066666666623	0.0066666666657	0.506666666663	0.006666666666	0.659999999968	0.006666666665	0.0066666666661	0.0066666666653	0.0066666666655	0.0066666666678	0.0066666666645
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.797999999994	0.76	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.0100000000001	0.0100000000001	0.0100000000001	0.0100000000001	0.759999999999	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.797999999995	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.794666666665	0.0133333333333	0.0133333333333	0.0133333333359	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999997	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
0	0.477236589971	0.0100000000006	0	0	0	0	0	0.0100000000026	0	0	0	0.0100000000002	0.359430076679	0.0100000000001	0	0.759999999994	0	0	0	0	0	0	0	0
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.826666666645	0.0133333333348	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999995	0.0133333333333	0.0133333333333	0.0133333333333	0.013333333335	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
