gensim-tfidf0	gensim-tfidf1	gensim-tfidf2	gensim-tfidf3	gensim-tfidf4	gensim-tfidf5	gensim-tfidf6	gensim-tfidf7	gensim-tfidf8	gensim-tfidf9	gensim-tfidf10	gensim-tfidf11	gensim-tfidf12	gensim-tfidf13	gensim-tfidf14	gensim-tfidf15	gensim-tfidf16	gensim-tfidf17	gensim-tfidf18	gensim-tfidf19	gensim-tfidf20	gensim-tfidf21	gensim-tfidf22	gensim-tfidf23	gensim-tfidf24
0	0	0	0	0	0.219775662763	0	0	0	0	0	0	0	0	0	0	0.207262842251	0	0	0	0	0	0	0	0
0	0.100401039433	0	0	0.339229676015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411323023137	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.354249398972	0	0	0	0.345916065633	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.133774604563	0	0	0	0	0	0	0	0	0.138774604561	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.100329026791	0	0	0	0	0	0	0	0	0	0	0.828901742375	0	0	0	0	0.939999999998
0	0	0	0	0	0	0	9.9997787828e-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.266412177065	0	0	0	0.543638428413	0	0	0	0	0	0.267892918168	0	0	0	0	0	0	0	0	0
0	0	0.113330642086	0.344907884191	0	0.259044849622	0	0	0	0	0	0	0	0	0	0	0	0	0.34365262401	0.16260583135	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112494046703	0	0.309556986517	0.115372086334	0	0	0	0.0816908534801	0	0
0	0	0.157208397072	0.0459543921817	0	0.119690368526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.147620180589	0.101109813876	0	0.258952216689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.28496123	0	0.0868626662968	0	0	0	0	0	0.0698935359893	0	0	0	0	0	0	0.423871278441	0	0	0	0
0.0100000000001	0.759999999987	0.0100000000007	0.0100000000002	0.0100000000004	9.99998694962e-14	0.0100000000003	0.0100000000002	0.0100000000005	0.0100000000006	0.0100000000004	0.0100000000006	0.0100000000004	0.0100000000005	0.0100000000001	0.0100000000005	0.0100000000002	0.0100000000002	0.0100000000008	0.0100000000007	0.0100000000002	0.0100000000003	0.0100000000003	0.0100000000006	0.0100000000006
0	0	0	0	0	0	0	0	0	0	0	0	0.912727272718	0	0	0	0	0	0	0	0	0	0	0	0
0.0100000000016	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.759999999996	0.01	0.01	0.01	0.883333333321	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0	0	0	0	0	0	0.0357964500338	0	0	0.035673373111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.926153846146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166299198869	0.731478578902	0	0
0	0	0	0.862857142849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903999999993	0
0.0848459934876	0	0	0	0	0.0669236786683	0.879588131452	0	0	0	0	0	0.742218459292	0	0	0	0	0	0	0	0	0	0	0	0
0	0.144935158071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156018805893	0	0	0	0	0.294287297294
0	0	0	0	0	0	0	0	0	0.599800345361	0	0	0	0	0	0.587133678798	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.008727272715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0819427592322	0.06543926273	0	0	0	0	0	0	0	0	0
0.0100000000016	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.759999999996	0.01	0.01	0.01	0.883333333321	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0	0	0	0	0	0	0	0	0	0	0.050407923946	0	0	0	0	0	0	0	0	0	0	0.140185701707	0	0	0
0	0	0	0.081063977315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802796635878	0
0	0.408000000004	0	0	0	0.145892843455	0	0	0	0	0	0.207999999972	0	0	0.700773823202	0	0	0	0	0	0	0	0.208000000007	0	0
0	0	0.862857142836	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912727272722	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.008727272736	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010666666668	0
0	0	0	0	0	0	0	0	0.018045112787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.098476953751	0	0	0	0	0	0	0	0	0	0	0	0	0.0948405901144	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.184995493857	0	0	0.344672105487	0	0	0	0	0	0	0	0	0	0	0	0.149171561122	0
0	0	0	0	0	0.211381254537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208047921201
0	0.106351425644	0	0	0	0.114998238028	0	0	0	0	0	0.926153846149	0	0	0	0	0.107007009665	0	0	0	0	0.611643326658	0	0	0
0	0.189859886386	0	0	0	0	0.137093978381	0	0	0.337458915239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
