gensim-tfidf0	gensim-tfidf1	gensim-tfidf2	gensim-tfidf3	gensim-tfidf4	gensim-tfidf5	gensim-tfidf6	gensim-tfidf7	gensim-tfidf8	gensim-tfidf9	gensim-tfidf10	gensim-tfidf11	gensim-tfidf12	gensim-tfidf13	gensim-tfidf14	gensim-tfidf15	gensim-tfidf16	gensim-tfidf17	gensim-tfidf18	gensim-tfidf19	gensim-tfidf20	gensim-tfidf21	gensim-tfidf22	gensim-tfidf23	gensim-tfidf24
0	0	0.688088354313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151931865368	0	0	0	0.564464181257
0	0	0.862857142849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807999999655	0	0	0	0	0	0
0.379918401217	0	0	0	0	0	0	0.456624999677	0	0	0.116706598463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018701298707	0	0	0
0	0	0	0	0	0	0.341747788096	0	0	0	0	0	0.574407616375	0	0	0	0	0	0	0.194326494945	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017142857137
0	0	0	0	0.821822069571	0	0	0	0	0	0	0	0	0	0.893333333319	0	0	0	0	0	0	0	0	0	0.0945415667612
0	0	0	0	0	0	0	0.912727272713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912727272717	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99995575656e-12	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041142857151	0	0	0	0	0	0	0	0
0	0	0.171967657399	0	0	0	0	0	0	0	0	0	0	0.0538624624292	0	0.545958402423	0	0.078327933465	0	0	0	0.681597288542	0	0	0.0823551311094
0.407941727528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666176322829	0	0	0.45189269314	0
0.103055870428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115419506775	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903999999994	0	0	0	0	0	0	0	0
0.794666666638	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.346666666668	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333339	0.0133333333333	0.0133333333333	0.0133333333338	0.0133333333333	0.0133333333333	0.346666666664	0.0133333333333	0.0133333333333	0.0133333333333
0	0	0	0.244997155603	0	0	0	0.903999999562	0	0	0	0	0	0	0	0	0	0.671366480749	0	0	0	0	0	0	0
0	0.204782701533	0	0	0.325256520355	0	0	0	0.186759533125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862857142846	0	0	0	0	0	0	0.862857142834	0
0	0.86285714284	0	0	0	0	0	0	0	0	0	0	0	0.839999999836	0	0	0	0	0	0	0	0	0	0	0
0.010666666668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.879999999989	0	0	0	0	0	0	0	0	0	0	0	0	0.893333333327	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.839999999985	0	0.839999999991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.839999999991	0	0	0	0	0	0	0	0.862857142676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.124303728349	0	0	0	0	0.152875156923	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.807999999887	0	0	0	0.839999999978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.708413069574	0	0	0	0	0	0.225872644705	0	0	0	0	0	0	0	0	0	0.919999999993	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042666666672	0	0	0
0	0.89333333332	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862857142839	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.097377527194	0	0	0	0	0	0	0	0	0	0	0	0	0.106608296429
