gensim-tfidf0	gensim-tfidf1	gensim-tfidf2	gensim-tfidf3	gensim-tfidf4	gensim-tfidf5	gensim-tfidf6	gensim-tfidf7	gensim-tfidf8	gensim-tfidf9	gensim-tfidf10	gensim-tfidf11	gensim-tfidf12	gensim-tfidf13	gensim-tfidf14	gensim-tfidf15	gensim-tfidf16	gensim-tfidf17	gensim-tfidf18	gensim-tfidf19	gensim-tfidf20	gensim-tfidf21	gensim-tfidf22	gensim-tfidf23	gensim-tfidf24
0	0	0	0	0	0	0.862857142856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839999999998	0	0
0.0100000000003	0.01	0.01652595691	0.0100000000002	0.01	0.01	0.01	0.0100000000018	0.01	0.01	0.01	0.01	0.6514792602	0.01	0.01	0.01	0.01	0.598953303292	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999996	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.794666666658	0.0133333333333	0.0133333333333
0.02	0.02	0.02	0.52	0.02	0.02	0.02	0.480896918988	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.295103081009
0	0.862857142857	0.0981972159201	0	0	0	0	0	0	0.809802784054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.839999999996	0	0	0	0	0	0	0	0.807999999998	0	0	0	0	0	0	0	0	0
0	0	0.054857142855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0100000000001	0.01	0.0100000000005	0.0100000000001	0.01	0.01	0.01	0.0100000000025	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.240000000003
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.584736422316	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.354736422316	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.466897662748	0	0.019925526321	0.446597500614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000374635811
