gensim-tfidf0	gensim-tfidf1	gensim-tfidf2	gensim-tfidf3	gensim-tfidf4	gensim-tfidf5	gensim-tfidf6	gensim-tfidf7	gensim-tfidf8	gensim-tfidf9	gensim-tfidf10	gensim-tfidf11	gensim-tfidf12	gensim-tfidf13	gensim-tfidf14	gensim-tfidf15	gensim-tfidf16	gensim-tfidf17	gensim-tfidf18	gensim-tfidf19	gensim-tfidf20	gensim-tfidf21	gensim-tfidf22	gensim-tfidf23	gensim-tfidf24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839999999996	0	0	0	0	0	0	0.807999999996	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.839999999946	0.839999999986	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.807999999984	0	0	0	0	0	0	0	0	0.651160844031	0	0	0	0	0.195505822627	0	0	0	0
0.01	9.99998694962e-14	0.01	9.99998694962e-14	0.01	0.01	0.047653508802	9.99998694962e-14	1.99999738992e-13	9.99998694962e-14	0.0100000000001	0.01	9.99998694962e-14	0.306119613072	0.01	9.99998694962e-14	0.01	9.99998694962e-14	9.99998694962e-14	0.01	0.0100000000001	0.0100000000001	0.353773121874	0.01	0.01
0.0066666666642	0.0066666666648	0.0066666666658	0.0066666666651	0.0066666666638	0.0066666666648	0.659999999451	0.006666666665	0.0066666666658	0.0066666666656	0.0066666666656	0.0066666666645	0.0066666666658	0.0066666666683	0.0066666666656	0.0066666666647	0.0066666666649	0.0066666666656	0.0066666666652	0.0066666666637	0.006666666155	0.0066666666644	0.0066666666648	0.0066666666652	0.506666666663
0.01	0.01	0.01	0.01	0.797999999965	0.759999999977	0.0100000000004	0.01	0.0100000000069	0.01	0.010000000005	0.0100000000013	0.01	0.01	0.01	0.01	0.0100000000026	0.01	0.01	0.01	0.01	0.0100000000029	0.0100000000027	0.01	0.0100000000006
0.01	0.01	0.0100000000479	0.01	0.0100000000004	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.520072552082	0.0100000000022	0.01	0.01	0.275927447908	0.01	0.759999999946
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333354	0.19466666667	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333356	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.59466666666	0.0133333333333	0.0133333333333	0.679999999996
0	0.510000000002	0	0	0.144010006018	0	0.343405890582	0	0	0	0	0	0.0100000000006	0	0	0.355917436718	0	0.0100000000004	0	0	0	0	0.259999999994	0	0
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999997	0.0133333333333	0.826666666652	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333343	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333344	0.0133333333333	0.0133333333333	0.0133333333346	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
0.0133333333333	0.0033333333332	0.0033333333324	0.0133333333333	0.74666666657	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333338	0.669999999906	0.0133333333333	0.0033333333324	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333333319	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333333328	0.0133333333333	0.0133333333342
3.00001343212e-13	2.99999608488e-13	1.99999738992e-13	2.99999608488e-13	7.00000821197e-13	1.50000151189e-12	3.99999477985e-13	2.99999608488e-13	9.99998694962e-14	9.99998694962e-14	1.99999738992e-13	3.99999477985e-13	9.99998694962e-14	9.99998694962e-14	1.99999738992e-13	2.99999608488e-13	2.99999608488e-13	0.241381575264	2.99999608488e-13	5.00001082204e-13	0.508618424717	0.749999999979	2.99999608488e-13	1.99999738992e-13	9.99998694962e-14
0.807999999984	0	0	0	0.862857142848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.01	0	0.0100000000001	0	0	0.258509484235	0.01	0	0.01	0.0100000000002	0.113955636748	0.01	0.299131787655	0.0100000000001	0.01	0	0.0100000000003	0.0100000000007	0.01	0.0100000000003	0.0100000000003	0.0100000000028	0	0.01
0	0	0	0	0	0	0	0.141166240022	0	0	0	0	0.021248858911	0	0.484607845623	0	0.33552608002	0	0	0	0	0	0	0	0
0.0100000000002	0.01	0.01	0.193087360673	0.010000000002	0.0100000000001	0.01	0.01	0.0100000000001	0.0100000000005	0.0100000000001	0.0100000000001	0.01	0.01	0.01	0.01	0.01	0.576912639324	0.01	0.797999999984	0.01	0.01	0.01	0.01	0.0100000000001
0.0100000000016	0.197832852624	0.0100000000004	0.243832852626	0.0100000000012	0.0100000000014	0.0100000000008	0.0100000000008	0.0100000000004	0.0100000000005	0.0100000000005	0.0100000000009	0.0100000000004	0.0100000000004	0.0100000000005	0.0100000000011	0.0100000000008	0.0100000000005	0.0100000000006	0.0100000000012	0.0100000000027	0.010000000001	0.0100000000009	0.0100000000006	0.0100000000003
0.0100000000003	0.0100000000002	0.398000000005	0.0100000000002	0.0100000000004	0.0100000000002	0.0100000000002	0.0100000000002	0.0100000000001	0.0100000000001	0.0100000000001	0.0100000000003	0.0100000000001	0.0100000000001	0.0100000000001	0.0100000000003	0.0100000000002	0.0100000000001	0.0100000000002	0.0100000000004	0.352000000002	0.0100000000003	0.0100000000002	0.0100000000002	0.0100000000001
0.0033333333333	0.0033333333341	0.0033333333332	0.0033333333333	0.0033333333328	0.0033333333329	0.0033333333333	0.0033333333334	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.08	0.0033333333334	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333
0.01	0.01	0.01	0.01	0.01	0.01	0.096152031249	0.01	0.01	0.01	0.0100000000001	0.01	0.0100000000001	0.0100000000005	0.01	0.01	0.01	0.0100000000001	0.0100000000002	0.01	0.0100000000001	0.258724552283	0.354876583532	0.0100000000001	0.01
1.20000016868e-12	0.430030462755	9.99998694962e-14	0.010000000001	1.59999964666e-12	9.00000560189e-13	4.00001212708e-13	0.0100000000008	3.99999477985e-13	4.99999347481e-13	4.99999347481e-13	4.00001212708e-13	3.99999477985e-13	3.99999477985e-13	4.99999347481e-13	9.00000560189e-13	7.99998955969e-13	1.10000029918e-12	6.99999086473e-13	0.749999998222	2.99999955433e-12	0.319969535454	9.00000560189e-13	6.99999086473e-13	3.99999477985e-13
0.0100000000026	0.0100000000014	0.0100000000007	0.0100000000012	0.0100000000024	0.0100000000016	0.0100000000014	0.0100000000015	0.0100000000007	0.0100000000008	1.46999967754e-10	0.0100000000016	0.0100000000006	0.0100000000007	1.4679999924e-10	0.0100000000015	0.0100000000013	0.0100000000008	9.99998694962e-14	0.0100000000024	0.0100000000048	0.0100000000017	0.0100000000015	0.0100000000011	0.0100000000006
0.0033333333333	0.230624958101	0.0033333333335	0.0033333333333	0.0033333333332	0.0033333333333	0.003333333337	0.003333333334	0.0033333333334	0.0033333333327	0.0033333333345	0.0033333333335	0.0033333333334	0.0033333333333	0.0033333333327	0.153958291353	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333335	0.0033333333355	0.0033333333349	0.0033333333332	0.0033333333334	0.0033333334064
0.01	0.01	0.01	0.0100000000088	0.01	0.797999999985	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.759999999987	0.0100000000024	0.01
0.01	0.01	0.0100000000001	0.01	0.327566123495	0.01	0.01	0.01	0.01	0.0100000000226	0.0100000000001	0.468433876484	0.01	0.0100000000002	0.0100000000001	0.509999999978	0.01	0.259999999998	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0	0.66832765939	0	0.178339007262	0	0	0	0.839999999674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.0100000000011	0.01	0.01	0.450461347878	0.01	0.0100000000004	0.0100000000006	0.01	0.0100000000004	0.0100000000007	0.01	0.01	0.01	0.01	0.0100000000005	0.01	0.01	0.0100000000011	0.37379468121	0.0100000000001	0.0100000000001	0.0100000000001	0.0100000000002	0.0100000000001
0.0100000000002	0	0.0100000000001	0	0	0	0	0	0	0	0	0	0.047999999994	0	0.0100000000001	0.0100000000001	0	0	0	0	0	0	0	0.0100000000001	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.399999999163	0.408000000002	0	0
0	0	0	0	0	0	0	0	0	0.807999999971	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807999999964	0
0.01	0.0100000000002	0.0100000000001	0.01	0.01	0.0100000000001	0.01	0.01	0.0100000000006	0.01	0.0100000000002	0.01	0.0100000000003	0.01	0.0100000000003	0.0100000000005	0.829999999988	0.0100000000068	0.0100000000001	0.01	0.01	0.75999999999	0.0100000000001	0.0100000000003	0.01
0.0133333333363	0.0133333333356	0.0133333333343	0.0133333333353	0.0133333333367	0.794666666654	0.0133333333355	0.0133333333354	0.0133333333344	0.0133333333347	0.0133333333346	0.0133333333359	0.0133333333344	0.0133333333344	0.0133333333347	0.0133333333357	0.0133333333355	0.0133333333346	0.0133333333352	0.0133333333367	0.0133333333409	0.013333333336	0.0133333333357	0.679999999941	0.0133333333343
0.01	0.01	3.60000050603e-12	3.99999477985e-13	0.749999999982	0.01	2.99999608488e-13	7.29999914684e-12	3.99999477985e-13	0.01	0.01	2.99999608488e-13	0.749999999987	2.79999981534e-12	5.99999216977e-13	0.01	6.99999086473e-13	0.01	0.01	0.01	9.00000560189e-13	3.99999477985e-13	2.30000046786e-12	0.01	6.99999086473e-13
0	0.0100000000003	0	0.759999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807999999989	0.0100000000004	0	0	0	0
0	0	0	0.199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207999999998	0	0	0	0
0.01	0.01	2.99999608488e-13	0.0100000000001	0.0100000000002	0.01	0.01	0.01	1.00000008274e-11	0.01	0.01	9.99998694962e-14	0.0100000000001	9.99998694962e-14	9.99998694962e-14	0.0100000000004	9.99998694962e-14	0.01	3.90000011452e-12	5.59999963068e-12	0.0100000000005	0.01	0.01	0.01	9.99998694962e-14
0.0100000000001	0.469003618089	0.01	0.0100000000002	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.539003618071	0.01	0.0100000000002	0.01	0.01	0.01	0.01	0.01
0.0133333333346	0.0133333333333	0.746666666658	0.0133333333333	0.0033333333335	0.0133333333333	0.0033333333333	0.0033333333331	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333333336	0.0033333333304	0.0133333333333	0.0133333333333	0.0033333333329	0.669999999992	0.0033333333333	0.0133333333333	0.0133333333333	0.0033333333353	0.0133333333333	0.0133333333333	0.0133333333333
0	0	0.0100000000001	0	0	0	0.230905676384	0	0	0	0	0	0.539094323615	0	0.0100000000002	0	0	0	0	0	0	0	0.807999999997	0	0
0.01	0.01	0.01	0.0100000000001	0.01	0.198000000048	0.168130090848	0.01	0.01	0.01	0.0100000000002	0.0100000000001	0.0100000000001	0.0100000000015	0.0100000000001	0.01	0.01	0.072130090893	0.0100000000007	0.01	0.0100000000006	0.0100000000003	0.0100000000032	0.26	0.01
0.0100000000018	0.0100000000014	0.0100000000006	0.434483404997	0.0100000000021	0.0100000000014	0.0100000000013	0.0100000000013	0.0100000000007	0.0100000000008	0.171200934505	0.759999999968	0.0100000000006	0.0100000000007	0.0100000000008	0.0100000000015	0.0100000000013	0.188315660492	0.0100000000011	0.0100000000021	0.0100000000047	0.0100000000017	0.0100000000014	0.0100000000011	0.0100000000006
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333334	0.0133333333333	0.0133333333333	2.40000241902e-11	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333334	0.0133333333333	0.0133333333334	0.0133333333345	0.0133333333334	0.0133333333333	0.0133333333333	0.0133333333335	0.013333333334	0.0133333333333	0.0133333333335	0.0133333333335	2.39000000346e-11	0.0133333333333	0.0133333333333
0.01	0.0099999998778	0.01	0.01	0.0100000000005	0.01	0.01	0.51	0.01	0.0099999999999	0.01	0.01	0.01	0.01	0.01	0.489999999998	0.01	0.23999999988	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0	0	0	0	0	0	0.807999999993	0	0	0	0.807999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.01	0.01	0.01	0.01	0.01	0.014957288717	0.01	0.01	0.01	0.0100000000001	0.01	0.01	0.316172317114	0.01	0.01	0.163333333331	0.0100000000001	0.0100000000002	0.01	0.0100000000001	0.0100000000001	0.201215028399	0.01	0.01
0.0033333333333	0.0133333333333	0.0133333333333	0.0033333333338	0.0133333333333	0.0133333333333	0.080000000099	0.0033333333333	0.0133333333333	0.0033333333334	0.0033333333333	0.0133333333333	0.0033333333333	0.003333333333	0.0033333333333	0.0033333333333	0.0133333333333	0.0033333333332	0.0033333333331	0.0033333334316	0.0033333333347	0.0033333333332	0.0033333333326	0.013333333334	0.0033333333333
9.00000560189e-13	6.99999086473e-13	2.99999608488e-13	5.99999216977e-13	1.00000042969e-12	9.99998694962e-14	6.99999086473e-13	5.99999216977e-13	0.0100000000003	0.159414380111	3.99999477985e-13	0.749999999977	2.99999608488e-13	9.99998694962e-14	3.99999477985e-13	6.99999086473e-13	6.99999086473e-13	1.20000016868e-12	2.89999968484e-12	1.10000029918e-12	0.0100000000037	0.590585619871	0.0100000000009	5.99999216977e-13	4.00001212708e-13
0.0133333333335	0.071999999972	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.194666666635	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333334	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1000089728e-11	0	0	0
0.0133333333333	0.0133333333333	0.0133333333345	0.013333333334	0.0133333333333	0.0133333333333	0.253231689759	0.367898356425	0.0133333333333	0.0133333333337	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333335	0.0133333333333	0.0133333333351	0.0133333333345	0.0133333333336	0.0133333333333	0.0133333333333	0.0133333333344	0.0133333333333
0	0	0	0	0	0	0	0.4848074209	0	0.192730117439	0	0	0.0100000000006	0	0	0	0	0	0.139964236184	0	0.406041539645	0	0.0100000000004	0	0
0.01	0.499999999919	1.69999951616e-12	0.01	3.99999477985e-13	0.01	1.99999738992e-13	0.252775707835	0.01	9.99998694962e-14	9.99998694962e-14	0.0100000000001	0.01	9.99998694962e-14	0.01	0.01	0.01	0.497224292157	0.01	0.01	2.99999608488e-13	1.99999738992e-13	0.01	0.250000000075	0.01
0	0	0	0	0.303516104765	0	0	0	0	0	0	0	0	0.807999999982	0	0	0	0	0.51248389522	0	0	0	0	0	0
0.0100000000064	0.0100000000019	0.0100000000009	0.0100000000019	0.0100000000303	0.0100000000022	0.739999999973	0.0100000000017	0.0100000000008	0.0100000000012	0.01	0.0099999999843	0.010000000001	0.0100000000009	0.0100000000013	0.0100000000054	0.0100000000021	0.0100000000011	0.0100000000016	0.0100000000051	0.509999999917	0.0100000000035	0.0100000000022	0.0100000000005	0.0099999999996
9.99998694962e-14	0.0133333333334	0.0133333333333	0.0133333333335	0.0133333333333	0.0133333333333	4.399999462e-12	0.0133333333333	0.0133333333333	9.99998694962e-14	2.99999608488e-13	0.0133333333333	9.00000560189e-13	8.00004507084e-12	9.99998694962e-14	0.0133333333333	5.00001082204e-13	3.99999477985e-13	8.00000690693e-13	9.99998694962e-14	7.00000821197e-13	3.99999477985e-13	3.70000037553e-12	0.0133333333333	0.0133333333333
0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333329	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.746666666664	0.0033333333333	0.0033333333333	0.0033333333333	0.003333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.669999999997
0.245907206861	0	0	0	0	0.247021491231	0	0	0	0	0	0	0	0.22310424201	0	0	0	0.243395884649	0	0	0	0	0	0	0
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333348	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.679999999995	0.0133333333333	0.013333333335	0.0133333333333	0.0133333333333	0.0133333333333	0.794666666571	0.0133333333333
0.0033333333333	0.669999999968	0.0033333333328	0.0033333333334	0.0033333333333	0.0033333333345	0.0033333333334	0.0033333333332	0.0033333333385	0.0033333333335	0.0033333333335	0.0033333333336	0.0033333333361	0.0033333333334	0.0033333333355	0.0033333333368	0.0033333333359	0.0033333333351	0.0033333333345	0.0033333333334	0.0033333333333	0.746666666648	0.0033333333245	0.0033333333353	0.0033333333333
0	0	0	0	0	0	0.195764290824	0	0	0	0	0	0.109246902748	0	0	0	0	0	0	0	0	0	0.335677859773	0	0
0.0033333333319	0.0033333333326	0.0033333333328	0.0033333333323	0.746666666641	0.0033333333322	0.0033333333322	0.0033333333337	0.0033333333367	0.0033333333325	0.0033333333327	0.003333333332	0.0033333333328	0.0033333333328	0.0033333333326	0.669999999992	0.0033333333323	0.0033333333327	0.0033333333324	0.0033333333316	0.0033333333296	0.003333333332	0.0033333333322	0.0033333333324	0.0033333333328
0.01	0.01	0.797999999991	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0100000000002	0.0100000000002	0.01	0.0100000000002	0.259999999995	0.01	0.0100000000133	0.01	0.01	0.50999999999	0.0100000000003	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.759999999974	0.01	0.01	0.01	0.01	0.797999999969	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0100000000002	0.01	0.01
0.01	0.01	0.260771322966	0.0100000000001	0.01	0.01	0.01	0.0100000000061	0.01	0.01	0.01	0.01	0.0100000000002	0.573816078478	0.01	0.01	0.0100000000002	0.01	0.357044755515	0.0100000000002	0.0100000000002	0.0100000000002	0.01	0.01	0.01
0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0033333336323	0.0133333333333	0.0133333333333	0.669999999689	0.0133333333348	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.746666666658	0.0133333333347	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333	0.0133333333333
0	0	0	0	0.807999999989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807999999987	0	0
0	0	0	0	0.434455434649	0	0	0	0	0	0	0	0	0	0	0	0.41221123201	0.83999999999	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.807999999967	0	0	0	0	0	0	0	0	0	0	0	0.807999999986	0	0	0	0	0
0	0	0.509999999997	0	0	0	0	0	0	0	0	0.624562456248	0	0	0	0.010000000001	0	0.260000000002	0	0	0	0	0	0.191437543744	0
0.538356646293	0.01	0.01	0.2316433537	0.829999999984	0.0100000000001	0.0100000000001	0.01	0.0100000000002	0.0100000000004	0.0100000000001	0.0100000000001	0.0100000000009	0.01	0.01	0.01	0.01	0.0100000000003	0.01	0.0100000000003	0.01	0.01	0.01	0.01	0.0100000000002
0.0033333333333	0.0033333333331	0.0033333333329	0.0033333333333	0.669999999995	0.0033333333333	0.0033333333331	0.0033333333333	0.0033333333326	0.0033333333332	0.0033333333333	0.0033333333331	0.0033333333333	0.0033333333329	0.0033333333332	0.0033333333332	0.0033333333334	0.003333333333	0.0033333333331	0.0033333333329	0.280079379349	0.0033333333331	0.463253953977	0.0033333333332	0.0033333333329
0.01	0.01	0.01	0.0100000000001	0.0100000000001	0.01	0.0100000000008	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0100000000018	0.362828513465	0.0100000000006	0.0100000000002	0.0100000000001	0.324828513471	0.0100000000001
0.0033333333333	0.669999999964	0.0033333333255	0.0033333333333	0.0033333333329	0.0033333333333	0.0033333333333	0.0033333333335	0.0033333333333	0.0033333333336	0.0033333333335	0.0033333333329	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333333	0.003333333333	0.74666666662	0.0033333333333	0.0033333333323	0.0033333333332	0.0033333333333	0.0033333333333	0.0033333333333	0.0033333333326
0	0	0	0	0	0	0	0	0.839999999994	0	0	0	0.839999999965	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.230567834432	0.452334347183	0	0	0	0	0	0	0	0	0	0.363665652808	0	0	0	0	0	0	0	0	0.585432165544	0	0
0.01	0.0100000000009	0.0100000000032	0.0100000000005	0.759999999985	0.01	0.01	0.0100000000021	0.01	0.01	0.0100000000006	0.0100000000007	0.01	0.797999999967	0.01	0.0100000000043	0.0100000000009	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.0099999999987	0.009999999999	0.0099999999995	0.0099999999991	0.0099999999985	0.009999999999	0.509999999998	0.0099999999991	0.0099999999995	0.0099999999994	0.29721526569	0.0099999999988	0.0099999999995	0.0099999999995	0.0099999999994	0.009999999999	0.0099999999991	0.0099999999994	0.0099999999992	0.0099999999985	0.0099999999966	0.432784734287	0.009999999999	0.0099999999999	0.0099999999996
0.01	2.99999608488e-13	0.249999999991	9.99998694962e-14	3.99999477985e-13	9.99998694962e-14	0.0100000000004	0.01	3.99999477985e-13	1.99999738992e-13	0.01	3.99999477985e-13	2.99999608488e-13	7.99998955969e-13	0.01	9.99998694962e-14	9.99998694962e-14	4.99999347481e-13	3.99999477985e-13	9.00000560189e-13	0.249999999998	3.99999477985e-13	2.50000020685e-12	9.99998694962e-14	9.00000560189e-13
