@relation 'semeval_preprocessed'
@attribute 'pair_ID' integer
@attribute 'lex_count_sw_s1' numeric
@attribute 'lex_count_sw_s2' numeric
@attribute 'lex_count_sw_dif' numeric
@attribute 'JCN_sum_max' numeric
@attribute 'lex_overlap_rem_0sw' numeric
@attribute 'lex_overlap_rem_1sw' numeric
@attribute 'lex_overlap_rem_2sw' numeric
@attribute 'lex_overlap_rem_3sw' numeric
@attribute 'syn_count_dif_NPs' numeric
@attribute 'syn_count_dif_VPs' numeric
@attribute 'syn_count_dif_PPs' numeric
@attribute 'relatedness_groundtruth' numeric

@data
1,10,10,0,1000,0.8,0.786,0.786,0.846,0,0,0,4.5
2,11,10,1,1000,0.733,0.714,0.714,0.714,1,1,0,3.2
3,5,5,0,1000,0.455,0.455,0.455,0.455,1,1,2,4.7
5,5,10,5,1000,0.333,0.286,0.286,0.308,1,1,1,3.4
9,5,10,5,1000,0.333,0.357,0.357,0.385,2,0,3,3.7
12,2,3,1,1000,0.5,0.5,0.5,0.5,0,0,0,4.0
14,8,2,6,1000,0,0,0,0,4,0,3,3.5
18,8,3,5,1000,0,0,0,0,4,0,3,3.2
25,5,6,1,0.321,0.2,0.222,0.222,0.222,1,0,1,2.8
26,5,6,1,0.541,0.3,0.222,0.222,0.222,1,0,1,3.7
28,6,5,1,1000,0.4,0.333,0.333,0.333,1,0,1,3.4
30,7,9,2,1000,0.769,0.75,0.75,0.75,0,0,1,4.9
35,7,10,3,1000,0.357,0.308,0.308,0.308,3,1,0,3.6
40,9,7,2,1000,0.417,0.364,0.364,0.364,1,1,0,3.8
42,5,4,1,1000,0.875,0.875,0.875,0.875,0,0,0,3.4
44,4,4,0,1000,0.778,0.75,0.75,0.75,0,0,0,4.9
45,5,4,1,1000,0.7,0.667,0.667,0.667,0,0,0,3.9
47,4,5,1,0.176,0.3,0.333,0.333,0.333,0,1,1,3.415
49,4,5,1,0.159,0.375,0.375,0.375,0.375,0,1,1,3.7
55,4,4,0,1000,0.857,0.857,0.857,0.857,0,0,0,4.4
56,4,4,0,1000,0.857,0.857,0.857,0.857,0,0,0,3.8
58,4,4,0,1000,0.5,0.5,0.5,0.5,1,0,1,3.5
62,4,4,0,1000,0.5,0.5,0.5,0.5,1,0,1,4.0
65,4,6,2,1000,0.8,0.8,0.8,0.8,0,1,0,2.9
70,6,6,0,1000,0.727,0.727,0.727,0.727,1,0,1,4.1
72,6,4,2,1000,0.636,0.636,0.636,0.636,1,1,1,2.5
73,6,6,0,1000,0.818,0.818,0.818,0.818,1,0,1,4.2
77,8,6,2,1000,0.692,0.667,0.667,0.667,1,2,0,4.4
78,8,6,2,1000,0.692,0.667,0.667,0.667,0,0,0,3.2
79,7,8,1,1000,0.538,0.583,0.583,0.583,0,1,1,3.635
81,5,6,1,1000,0.25,0.182,0.182,0.182,1,2,0,2.4
82,5,7,2,1000,0.25,0.25,0.25,0.25,1,1,1,2.6
83,5,8,3,1000,0.231,0.167,0.167,0.167,1,2,0,2.2
84,8,5,3,1000,0.308,0.25,0.25,0.25,1,2,0,3.0
85,8,4,4,1000,0.154,0.083,0.083,0.083,1,2,0,2.0
87,4,5,1,1000,0.75,0.714,0.714,0.714,0,0,0,5.0
88,5,4,1,1000,0.75,0.75,0.714,0.714,1,1,0,4.2
90,5,5,0,1000,0.75,0.714,0.714,0.833,0,0,0,3.0
91,5,5,0,1000,0.375,0.429,0.429,0.429,0,0,0,3.1
93,4,5,1,1000,0.375,0.286,0.333,0.333,0,0,0,1.7
94,5,4,1,0.178,0.375,0.429,0.429,0.429,0,0,0,1.4
97,4,5,1,1000,0.375,0.286,0.286,0.333,0,0,0,1.5
98,4,4,0,1000,0.875,0.875,0.875,0.875,0,0,0,4.8
99,4,4,0,1000,0.875,0.875,0.875,0.875,0,0,0,3.8
100,5,3,2,1000,0.7,0.7,0.7,0.7,0,0,1,4.1
107,8,4,4,1000,0.5,0.455,0.455,0.455,2,1,1,4.3
112,3,4,1,0.251,0,0,0,0,1,0,0,2.1
113,4,4,0,0.207,0.125,0,0,0,0,0,0,3.0
117,4,4,0,0.233,0.125,0,0,0,0,0,0,2.6
120,6,6,0,1000,0.7,0.7,0.7,0.7,0,0,0,3.2
122,7,9,2,1000,0.769,0.75,0.75,0.75,1,0,1,3.7
124,9,6,3,1000,0.385,0.333,0.333,0.333,1,1,1,2.6
126,4,7,3,1000,0.333,0.273,0.273,0.273,1,1,1,2.7
127,6,7,1,0.44,0.167,0.182,0.182,0.182,0,1,2,2.3
129,4,4,0,1000,0.75,0.714,0.714,0.833,0,0,0,4.4
130,4,4,0,1000,0.833,0.8,0.8,0.8,0,0,0,2.6
131,7,7,0,1000,0.7,0.667,0.667,0.667,0,0,0,4.1
133,4,7,3,1000,0.8,0.778,0.778,0.778,1,1,1,3.4
136,4,4,0,0.486,0.375,0.286,0.286,0.286,0,0,1,3.3
139,4,7,3,1000,0.3,0.222,0.222,0.222,1,1,0,3.8
140,8,6,2,1000,0.667,0.636,0.636,0.636,0,0,1,4.9
141,6,6,0,1000,0.7,0.667,0.667,0.667,1,0,1,3.7
146,8,4,4,1000,0.25,0.273,0.273,0.273,0,1,2,3.2
