pair_ID	topics_euclidean_dist	topic0	topic1	topic2	topic3	topic4	topic5	topic6	topic7	topic8	topic9	topic10	topic11	topic12	topic13	topic14	topic15	topic16	topic17	topic18	topic19	topic20	topic21	topic22	topic23	topic24	ttopics_euclidean_dist	ttopic0	ttopic1	ttopic2	ttopic3	ttopic4	ttopic5	ttopic6	ttopic7	ttopic8	ttopic9	ttopic10	ttopic11	ttopic12	ttopic13	ttopic14	ttopic15	ttopic16	ttopic17	ttopic18	ttopic19	ttopic20	ttopic21	ttopic22	ttopic23	ttopic24
1	0.158390	0.000000	0.000000	0.026571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019203	0.000000	0.111687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107418	0.000000	0.495401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.372405	0.067619	0.000000	0.000000	0.225121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.226903
2	0.428445	0.000000	0.000000	0.006774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.251080	0.000000	0.111689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.158374	0.000000	0.000000	0.287961	0.000000	0.837498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.468197	0.000000	0.000000	0.225049	0.000000	0.000000	0.000000	0.000000	0.000000	0.655646	0.000000	0.000000	0.000000	0.000000	0.000000	0.040933
3	0.217069	0.000000	0.000000	0.000000	0.000000	0.156139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000891	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028606	0.148055	0.474700	0.000000	0.000000	0.000000	0.000000	0.000000	0.335729	0.000000	0.000000	0.000000	0.335117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.379832	0.000000	0.000000	0.169151	0.000000	0.251148	0.000000	0.000000	0.000000	0.000000	0.000000	0.145695	0.000000	0.111695	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137412	0.000000	0.660668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133031	0.000000	0.000000	0.225026	0.000000	0.000000	0.000000	0.000000	0.000000	0.562731	0.000000	0.000000	0.000000	0.000000	0.000000	0.226896
9	0.324483	0.000000	0.000000	0.168912	0.000000	0.093114	0.000000	0.000000	0.000000	0.000000	0.000000	0.148095	0.000000	0.111704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108557	0.147963	0.878123	0.000000	0.000000	0.000000	0.000000	0.000000	0.335792	0.000000	0.000000	0.000000	0.468213	0.000000	0.000000	0.224899	0.000000	0.000000	0.000000	0.000000	0.000000	0.580571	0.000000	0.000000	0.000000	0.000000	0.000000	0.226888
12	0.960188	0.010000	0.010000	0.010000	0.010000	0.010000	0.760000	0.428704	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.397963	0.010000	0.010000	0.876080	0.010000	0.655697	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.579031
14	1.027907	0.010000	0.010000	0.010000	0.240872	0.010000	0.760000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.647128	0.010000	0.010000	0.010000	0.880517	0.010000	0.218840	0.010000	0.268545	0.010000	0.010000	0.204083	0.010000	0.184532	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.010000	0.760000
18	0.924083	0.000000	0.000000	0.000000	0.250547	0.000000	0.000000	0.438959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.657453	0.407708	0.000000	0.000000	0.620316	0.000000	0.436735	0.000000	0.278546	0.000000	0.000000	0.213940	0.000000	0.194680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181098
25	1.052749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.274573	0.000000	0.000000	0.000000	0.000000	0.000000	0.572093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465094	0.000000	0.347854	0.067305	0.000000	0.000000	0.000000	0.000000	0.241008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	1.187939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.426275	0.000000	0.340001	0.105542	0.000000	0.000000	0.000000	0.000000	0.234459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
