@relation 'semeval_preprocessed'
@attribute 'pair_ID' integer
@attribute 'lex_count_nsw_s1' numeric
@attribute 'lex_count_nsw_s2' numeric
@attribute 'lex_count_nsw_dif' numeric
@attribute 'lex_count_sw_s1' numeric
@attribute 'lex_count_sw_s2' numeric
@attribute 'lex_count_sw_dif' numeric
@attribute 'JCN_sum_max' numeric
@attribute 'LESK_sum_max' numeric
@attribute 'lex_overlap_rem_0sw' numeric
@attribute 'lex_overlap_rem_1sw' numeric
@attribute 'lex_overlap_rem_2sw' numeric
@attribute 'lex_overlap_rem_3sw' numeric
@attribute 'syn_count_dif_NPs' numeric
@attribute 'syn_count_dif_VPs' numeric
@attribute 'syn_count_dif_PPs' numeric
@attribute 'gold_standard' numeric

@data
0,0,0,0,1,2,1,1000,1000,0.5,0.5,0.5,0.5,1,0,0,4.0
1,0,0,0,3,1,2,1000,1000,0.5,0.5,0.5,0.5,0,0,1,4.2
2,0,0,0,4,3,1,1000,1000,0.857,0.857,0.857,0.857,1,1,0,4.2
3,0,0,0,3,4,1,1000,1000,0.545,0.545,0.545,0.545,1,0,1,3.2
4,0,0,0,3,3,0,1000,1000,0.333,0.333,0.333,0.333,1,0,1,0.6
5,0,0,0,6,8,2,1000,1000,0.722,0.722,0.722,0.765,1,0,0,3.6
6,0,0,0,8,14,6,1000,1000,0.4,0.4,0.4,0.414,2,2,1,3.6
7,0,0,0,7,4,3,1000,1000,0.389,0.389,0.389,0.389,2,0,0,2.0
8,0,0,0,3,4,1,1000,1000,0.727,0.727,0.727,0.7,0,0,0,4.4
9,0,0,0,6,4,2,1000,1000,0.278,0.278,0.278,0.278,0,0,1,1.4
10,0,0,0,13,8,5,1000,1000,0.593,0.593,0.593,0.593,3,1,1,4.6
11,1,1,0,3,6,3,1000,1000,0.533,0.533,0.533,0.533,1,1,0,2.0
12,0,0,0,4,3,1,1000,1000,0.5,0.5,0.5,0.5,0,0,0,2.2
13,0,0,0,5,9,4,1000,1000,0.6,0.6,0.6,0.6,1,1,0,3.8
14,0,0,0,5,8,3,1000,1000,0.688,0.688,0.688,0.688,1,1,1,3.6
15,0,1,1,4,8,4,1000,1000,0.286,0.286,0.286,0.308,2,2,3,2.6
16,0,0,0,4,3,1,1000,1000,0.529,0.529,0.529,0.529,1,0,1,4.8
17,0,0,0,11,11,0,1000,1000,0.833,0.833,0.833,0.828,2,0,1,3.8
18,0,0,0,7,6,1,1000,1000,0.389,0.389,0.389,0.389,3,0,0,2.8
19,0,0,0,4,9,5,1000,1000,0.545,0.545,0.545,0.524,1,0,3,3.6
20,0,0,0,6,7,1,1000,1000,0.737,0.737,0.737,0.722,3,1,0,4.2
21,0,0,0,5,3,2,1000,1000,0.444,0.444,0.444,0.444,0,0,0,3.4
22,0,0,0,5,5,0,1000,1000,0.667,0.667,0.667,0.667,0,0,0,4.0
23,0,0,0,3,5,2,1000,1000,0.714,0.714,0.714,0.714,1,0,1,4.0
24,0,0,0,9,6,3,1000,1000,0.45,0.45,0.45,0.421,1,1,1,3.2
25,0,0,0,1,4,3,1000,1000,0.4,0.4,0.4,0.429,1,1,0,4.4
26,0,0,0,3,2,1,1000,1000,0.667,0.667,0.667,0.667,0,0,1,5.0
27,0,0,0,3,2,1,1000,1000,0.4,0.4,0.4,0.4,2,0,0,0.0
28,0,0,0,3,7,4,1000,1000,0.538,0.538,0.538,0.583,1,0,1,3.8
29,0,0,0,4,4,0,1000,1000,0.8,0.8,0.8,0.8,1,0,1,4.2
30,0,0,0,8,6,2,1000,1000,0.435,0.435,0.435,0.435,4,1,4,2.4
31,0,0,0,6,5,1,1000,1000,0.615,0.615,0.615,0.615,1,0,1,3.6
