cacs<pair_ID	relatedness_score
0	3.84
1	3.497
2	3.351
3	3.405
4	3.335
5	3.683
6	3.078
7	3.018
8	2.862
9	2.903
10	2.679
11	4.32
12	3.13
13	3.24
14	3.792
15	4.236
16	3.763
17	3.081
18	3.242
19	4.239
20	4.162
21	3.586
22	3.651
23	4.046
24	3.617
25	3.919
26	4.309
27	4.123
28	3.908
29	3.562
30	2.659
31	2.821
32	2.675
33	2.795
34	2.618
35	3.851
36	3.829
37	3.906
38	2.965
39	2.372
40	2.837
41	2.347
42	4.252
43	4.122
44	4.029
45	3.606
46	2.612
47	2.755
48	2.703
49	3.694
50	4.37
51	3.181
52	3.104
53	2.669
54	4.535
55	4.002
56	3.932
57	4.152
58	2.813
59	3.135
60	4.365
61	3.738
62	2.978
63	2.841
64	3.643
65	3.964
66	3.518
67	3.181
68	2.887
69	4.07
70	3.085
71	3.044
72	3.144
73	2.661
74	2.893
75	2.83
76	4.252
77	3.75
78	4.19
79	3.779
80	4.301
81	2.911
82	3.056
83	2.815
84	2.934
85	3.111
86	2.905
87	3.142
88	3.16
89	3.825
90	4.029
91	2.733
92	2.744
93	2.639
94	4.018
95	4.192
96	3.133
97	2.891
98	3.796
99	4.143
100	2.806
101	2.755
102	2.637
103	2.794
104	3.996
105	3.794
106	3.437
107	3.047
108	4.164
109	3.698
110	2.883
111	2.89
112	3.765
113	2.687
114	3.58
115	3.237
116	3.984
117	4.212
118	2.881
119	3.703
120	3.738
121	4.204
122	2.984
123	2.88
124	3.036
125	4.133
126	3.729
127	4.217
128	3.717
129	4.202
130	2.681
131	2.772
132	3.6
133	3.971
134	3.548
135	3.498
136	2.591
137	2.982
138	4.184
139	3.8
140	3.808
141	3.862
142	3.281
143	3.561
144	4.219
145	4.334
146	3.005
147	2.922
148	3.017
149	4.166
150	3.781
151	4.458
152	3.423
153	3.683
154	3.82
155	3.66
156	4.093
157	3.706
158	3.053
159	2.54
160	2.884
161	2.737
162	2.875
163	3.602
164	3.892
165	4.447
166	3.869
167	3.858
168	3.837
169	3.143
170	2.65
171	2.721
172	3.983
173	3.577
174	2.618
175	2.948
176	3.511
177	3.994
178	4.559
179	3.757
180	3.734
181	2.916
182	3.828
183	3.974
184	3.891
185	2.992
186	3.159
187	3.046
188	3.184
189	2.847
190	4.099
191	2.905
192	2.852
193	2.5
194	3.842
195	3.287
196	3.017
197	3.444
198	3.936
199	3.045
200	4.273
201	3.983
202	3.772
203	3.355
204	4.146
205	4.083
206	3.985
207	3.491
208	4.349
209	4.307
210	3.456
211	3.001
212	2.744
213	2.609
214	4.407
215	3.871
216	3.619
217	3.858
218	3.085
219	3.883
220	4.216
221	3.599
222	3.634
223	4.126
224	3.548
225	4.142
226	2.986
227	4.329
228	2.828
229	2.865
230	4.157
231	3.799
232	3.94
233	2.829
234	2.968
235	3.188
236	3.095
237	3.476
238	3.138
239	4.79
240	3.426
241	3.65
242	2.914
243	3.293
244	4.223
245	4.136
246	4.189
247	3.528
248	3.828
249	3.549
250	2.765
251	3.151
252	4.088
253	4.313
254	4.129
255	3.816
256	2.882
257	2.834
258	2.767
259	3.566
260	2.552
261	3.748
262	3.784
263	3.743
264	3.542
265	4.162
266	3.481
267	3.496
268	2.966
269	2.976
270	3.473
271	3.931
272	3.665
273	3.513
274	3.006
275	3.536
276	3.154
277	2.639
278	3.783
279	4.209
280	3.744
281	2.925
282	3.687
283	3.23
284	3.711
285	2.906
286	2.826
287	4.428
288	3.883
289	4.125
290	3.846
291	3.734
292	3.993
293	3.523
294	4.284
295	4.213
296	2.972
297	2.863
298	3.027
299	4.355
300	4.39
301	4.241
302	3.464
303	3.149
304	3.036
305	3.128
306	3.322
307	3.776
308	4.088
309	4.338
310	3.795
311	3.219
312	2.79
313	3.051
314	3.029
315	3.355
316	3.134
317	4.256
318	4.191
319	4.236
320	2.81
321	3.252
322	3.304
323	2.855
324	3.219
325	4.231
326	3.379
327	2.821
328	3.521
329	3.732
330	4.258
331	2.899
332	2.841
333	2.887
334	4.169
335	4.281
336	2.726
337	3.602
338	3.881
339	3.743
340	3.077
341	2.859
342	2.797
343	3.053
344	4.164
345	3.556
346	2.97
347	3.035
348	3.11
349	2.698
350	2.799
351	2.65
352	3.582
353	2.882
354	2.706
355	2.68
356	4.172
357	3.86
358	3.405
359	3.431
360	3.631
361	3.879
362	4.358
363	2.932
364	2.671
365	2.724
366	2.826
367	3.452
368	4.024
369	3.959
370	3.897
371	3.134
372	3.825
373	3.793
374	4.257
375	3.64
376	3.822
377	3.283
378	2.95
379	3.436
380	3.812
381	3.669
382	3.789
383	3.975
384	3.825
385	3.061
386	3.168
387	2.952
388	3.163
389	4.599
390	3.693
391	3.186
392	3.017
393	3.864
394	4.072
395	3.074
396	4.036
397	3.615
398	3.576
399	4.12
400	3.476
401	3.505
402	3.493
403	3.789
404	3.598
405	3.062
406	3.574
407	3.364
408	2.918
409	2.978
410	2.823
411	3.048
412	4.216
413	3.666
414	4.428
415	3.491
416	3.594
417	2.759
418	3.466
419	4.4
420	3.559
421	3.502
422	3.944
423	3.127
424	2.787
425	3.742
426	3.727
427	3.961
428	2.979
429	3.314
430	3.167
431	4.522
432	3.563
433	2.923
434	2.796
435	2.809
436	3.986
437	3.882
438	3.049
439	3.059
440	4.196
441	4.085
442	3.405
443	2.922
444	2.912
445	3.303
446	4.204
447	4.21
448	3.297
449	3.124
450	3.134
451	3.475
452	3.991
453	3.231
454	3.349
455	3.214
456	3.376
457	4.321
458	3.728
459	3.724
460	4.214
461	3.716
462	3.214
463	2.717
464	1.918
465	2.655
466	1.911
467	2.014
468	4.158
469	3.235
470	3.275
471	3.406
472	2.884
473	3.893
474	4.051
475	3.063
476	4.307
477	3.805
478	3.436
479	3.976
480	3.876
481	3.149
482	4.003
483	3.737
484	3.459
485	3.94
486	4.27
487	3.653
488	3.628
489	1.868
490	1.822
491	3.64
492	4.254
493	2.509
494	1.894
495	1.933
496	4.36
497	3.718
498	3.679
499	3.758
500	4.041
501	4.343
502	3.194
503	3.079
504	1.956
505	2.351
506	3.628
507	3.468
508	3.76
509	3.559
510	4.26
511	2.975
512	3.245
513	3.499
514	3.797
515	3.771
516	3.212
517	2.538
518	2.675
519	2.489
520	4.218
521	4.083
522	4.063
523	4.185
524	3.672
525	3.917
526	3.813
527	3.6
528	3.655
529	4.296
530	4.185
531	3.765
532	2.791
533	2.919
534	2.773
535	4.258
536	2.639
537	3.49
538	3.172
539	3.692
540	3.569
541	3.498
542	2.176
543	3.522
544	4.015
545	3.557
546	2.496
547	2.931
548	2.932
549	4.293
550	2.893
551	3.539
552	3.014
553	3.645
554	2.688
555	2.582
556	2.618
557	3.332
558	2.901
559	3.986
560	2.658
561	2.755
562	3.095
563	4.287
564	4.065
565	3.759
566	3.651
567	3.571
568	3.644
569	3.311
570	2.464
571	3.917
572	3.716
573	2.331
574	4.112
575	4.125
576	3.341
577	3.783
578	3.589
579	3.757
580	3.137
581	3.202
582	3.725
583	4.455
584	3.672
585	3.243
586	3.871
587	3.777
588	3.477
589	3.315
590	3.757
591	3.001
592	4.032
593	3.676
594	2.903
595	3.745
596	3.672
597	3.269
598	3.165
599	3.755
600	4.631
601	4.578
602	3.207
603	3.648
604	3.731
605	3.757
606	3.859
607	3.732
608	3.589
609	2.898
610	2.938
611	4.553
612	4.301
613	3.049
614	2.642
615	1.936
616	2.053
617	3.588
618	3.675
619	3.168
620	3.461
621	4.136
622	2.438
623	2.464
624	3.728
625	4.201
626	3.429
627	3.506
628	4.045
629	3.584
630	2.888
631	3.382
632	1.969
633	1.97
634	3.559
635	1.855
636	1.855
637	2.153
638	4.358
639	4.284
640	3.194
641	3.181
642	3.567
643	3.655
644	3.652
645	3.658
646	3.165
647	4.005
648	4.732
649	3.816
650	3.125
651	3.41
