pair_ID	lex_count_sw_s1	lex_count_sw_s2	lex_count_sw_dif	lex_overlap_rem_0sw	lex_overlap_rem_1sw	lex_overlap_rem_2sw	lex_overlap_rem_3sw	syn_count_dif_NPs	syn_count_dif_VPs	syn_count_dif_PPs
0	1.0	1.0	0.0	0.286	0.286	0.286	0.286	2.0	0.0	0.0
1	1.0	4.0	3.0	0.3	0.3	0.3	0.3	1.0	1.0	0.0
2	4.0	2.0	2.0	0.2	0.2	0.2	0.2	0.0	0.0	1.0
3	3.0	6.0	3.0	0.167	0.091	0.091	0.091	4.0	0.0	0.0
4	4.0	7.0	3.0	0.091	0.091	0.091	0	3.0	1.0	1.0
5	0.0	6.0	6.0	0.143	0.143	0.143	0.143	2.0	1.0	0.0
6	2.0	3.0	1.0	0.333	0.333	0.333	0.333	0.0	0.0	0.0
7	4.0	0.0	4.0	0	0	0	0	8.0	2.0	0.0
8	4.0	2.0	2.0	0.375	0.375	0.375	0.375	0.0	0.0	0.0
9	1.0	4.0	3.0	0.273	0.273	0.273	0.273	1.0	1.0	1.0
10	5.0	2.0	3.0	0.091	0.091	0.091	0.091	1.0	1.0	0.0
11	3.0	3.0	0.0	0.111	0.111	0.125	0.125	1.0	0.0	0.0
12	4.0	4.0	0.0	0.364	0.364	0.364	0.364	2.0	0.0	0.0
13	2.0	3.0	1.0	0.2	0.2	0.2	0.2	2.0	1.0	1.0
14	1.0	1.0	0.0	0.25	0.25	0.25	0.25	1.0	2.0	0.0
15	4.0	2.0	2.0	0.286	0.286	0.286	0.286	1.0	0.0	0.0
16	2.0	0.0	2.0	0.286	0.286	0.286	0.286	1.0	1.0	0.0
17	2.0	2.0	0.0	0.25	0.25	0.25	0.25	2.0	0.0	0.0
18	1.0	3.0	2.0	0.364	0.364	0.364	0.364	0.0	0.0	0.0
19	2.0	2.0	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0
20	4.0	1.0	3.0	0.222	0.222	0.222	0.222	0.0	1.0	0.0
21	4.0	5.0	1.0	0.462	0.462	0.462	0.462	1.0	1.0	0.0
22	5.0	5.0	0.0	0.455	0.455	0.455	0.455	1.0	0.0	0.0
23	2.0	1.0	1.0	0.375	0.375	0.375	0.375	2.0	1.0	0.0
24	4.0	4.0	0.0	0.3	0.3	0.3	0.3	0.0	0.0	1.0
25	6.0	3.0	3.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0
26	2.0	5.0	3.0	0.385	0.385	0.385	0.385	1.0	1.0	0.0
27	2.0	2.0	0.0	0.167	0.167	0.167	0.167	0.0	1.0	0.0
28	2.0	3.0	1.0	0.222	0.222	0.222	0.222	0.0	0.0	0.0
29	2.0	2.0	0.0	0.429	0.429	0.429	0.429	2.0	1.0	0.0
30	4.0	2.0	2.0	0.111	0.111	0.111	0.111	1.0	1.0	0.0
31	3.0	2.0	1.0	0.125	0.125	0.125	0.125	0.0	1.0	0.0
32	4.0	2.0	2.0	0.571	0.571	0.571	0.571	0.0	1.0	0.0
33	1.0	9.0	8.0	0.286	0.286	0.286	0.286	0.0	3.0	1.0
34	3.0	0.0	3.0	0	0	0	0	2.0	1.0	1.0
35	3.0	0.0	3.0	0.143	0.143	0.143	0.143	1.0	1.0	0.0
36	1.0	4.0	3.0	0.091	0.091	0.091	0.091	1.0	2.0	0.0
37	4.0	0.0	4.0	0	0	0	0	4.0	1.0	0.0
38	3.0	5.0	2.0	0.25	0.25	0.25	0.25	4.0	1.0	0.0
39	3.0	0.0	3.0	0.143	0.143	0.143	0.143	1.0	1.0	0.0
40	1.0	4.0	3.0	0.5	0.5	0.5	0.5	0.0	1.0	0.0
41	0.0	2.0	2.0	0.125	0.125	0.125	0.125	2.0	0.0	0.0
42	3.0	4.0	1.0	0.111	0	0	0	1.0	2.0	1.0
43	4.0	3.0	1.0	0.3	0.3	0.3	0.3	1.0	2.0	0.0
44	3.0	3.0	0.0	0.1	0.1	0.1	0.1	1.0	1.0	1.0
45	3.0	3.0	0.0	0.571	0.571	0.571	0.571	0.0	0.0	0.0
46	1.0	1.0	0.0	0.125	0.125	0.125	0.125	0.0	0.0	0.0
47	1.0	4.0	3.0	0.286	0.286	0.286	0.286	2.0	2.0	0.0
48	3.0	5.0	2.0	0.2	0.2	0.2	0.2	1.0	2.0	1.0
49	0.0	1.0	1.0	0.571	0.571	0.571	0.571	5.0	0.0	0.0
